id,state,abbr,age,ageMoe,smokes,smokesLow,smokesHigh
1,Alabama,AL,38.6,0.2,21.1,19.8,22.5
2,Alaska,AK,33.3,0.3,19.9,18.2,21.6
4,Arizona,AZ,36.9,0.1,16.5,15.4,17.6
5,Arkansas,AR,37.8,0.2,24.7,22.7,26.7
6,California,CA,36,0.1,12.9,11.9,13.8
8,Colorado,CO,36.3,0.1,15.7,14.8,16.6
9,Connecticut,CT,40.5,0.2,15.4,14.2,16.7
10,Delaware,DE,39.6,0.3,19.9,17.9,21.8
11,Washington D.C.,DC,33.8,0.2,16.4,14.2,18.6
12,Florida,FL,41.6,0.1,17.7,16.5,18.8
13,Georgia,GA,36.1,0.1,17.4,15.9,18.8
15,Hawaii,HI,38.1,0.2,14.1,13,15.3
16,Idaho,ID,35.9,0.2,15.9,14.4,17.4
17,Illinois,IL,37.5,0.2,16.5,15.1,18
18,Indiana,IN,37.4,0.2,22.9,21.8,24.1
19,Iowa,IA,38.2,0.1,18.5,17.3,19.7
20,Kansas,KS,36.2,0.1,18.1,17.2,18.9
21,Kentucky,KY,38.5,0.2,26.2,24.7,27.7
22,Louisiana,LA,36.1,0.1,24,22.6,25.4
23,Maine,ME,44.1,0.2,19.3,18.1,20.5
24,Maryland,MD,38.3,0.1,14.6,13.4,15.9
25,Massachusetts,MA,39.4,0.2,14.7,13.7,15.7
26,Michigan,MI,39.6,0.1,21.2,20,22.5
27,Minnesota,MN,37.8,0.1,16.3,15.6,17
28,Mississippi,MS,36.7,0.2,23,21,24.9
29,Missouri,MO,38.5,0.1,20.6,19.2,22.1
30,Montana,MT,39.6,0.3,19.9,18.5,21.4
31,Nebraska,NE,36.2,0.2,17.3,16.5,18.2
32,Nevada,NV,37.4,0.2,17,15,19
33,New Hampshire,NH,42.5,0.3,17.5,16,19
34,New Jersey,NJ,39.4,0.2,15.1,14.1,16.1
35,New Mexico,NM,37.2,0.2,19.2,17.7,20.6
36,New York,NY,38.2,0.1,14.4,13.3,15.5
37,North Carolina,NC,38.3,0.1,19.1,17.9,20.3
38,North Dakota,ND,35.1,0.2,19.9,18.4,21.5
39,Ohio,OH,39.4,0.1,21,19.7,22.3
40,Oklahoma,OK,36.2,0.2,21.1,19.9,22.3
41,Oregon,OR,39.3,0.2,17,15.5,18.4
42,Pennsylvania,PA,40.7,0.1,19.9,18.8,21.1
44,Rhode Island,RI,39.8,0.3,16.3,14.8,17.7
45,South Carolina,SC,38.8,0.1,21.5,20.4,22.7
46,South Dakota,SD,36.6,0.3,18.6,16.9,20.2
47,Tennessee,TN,38.6,0.1,24.2,22.3,26.1
48,Texas,TX,34.3,0.1,14.5,13.6,15.5
49,Utah,UT,30.5,0.1,9.7,9,10.3
50,Vermont,VT,42.8,0.3,16.4,15.2,17.6
51,Virginia,VA,37.7,0.1,19.5,18.4,20.7
53,Washington,WA,37.5,0.1,15.3,14.3,16.4
54,West Virginia,WV,41.9,0.2,26.7,25.2,28.1
55,Wisconsin,WI,39.2,0.2,17.4,16,18.7
56,Wyoming,WY,36.6,0.4,19.5,17.6,21.4
